Protein	Protein ID	Entry Name	Gene Names	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	RMAHA1 Spectral Count	RMAHA2 Spectral Count	RMAHA3 Spectral Count	RMAHA1 Unique Spectral Count	RMAHA2 Unique Spectral Count	RMAHA3 Unique Spectral Count	RMAHA1 Total Spectral Count	RMAHA2 Total Spectral Count	RMAHA3 Total Spectral Count	RMAHA1 Intensity	RMAHA2 Intensity	RMAHA3 Intensity	RMAHA1 MaxLFQ Intensity	RMAHA2 MaxLFQ Intensity	RMAHA3 MaxLFQ Intensity	Indistinguishable Proteins
generic|con_ALBU_BOVIN|ALBU_BOVIN	generic|con_ALBU_BOVIN|ALBU_BOVIN	generic|con_ALBU_BOVIN|ALBU_BOVIN		607			generic|con_ALBU_BOVIN|ALBU_BOVIN	1	0.9986	8	9	9	13	6	2	1	6	2	1	8	3	2	8.46E+07	1.79E+08	1.64E+08	3.95E+07	9.26E+07	1.03E+08	
generic|con_ALBU_HUMAN|ALBU_HUMAN	generic|con_ALBU_HUMAN|ALBU_HUMAN	generic|con_ALBU_HUMAN|ALBU_HUMAN		609			generic|con_ALBU_HUMAN|ALBU_HUMAN	1	0.999	20	36	0	36	20	7	9	0	0	0	20	7	9	1.56E+09	1.47E+09	2.47E+09	4.45E+08	4.43E+08	8.73E+08	
generic|con_AMYS_HUMAN|AMYS_HUMAN	generic|con_AMYS_HUMAN|AMYS_HUMAN	generic|con_AMYS_HUMAN|AMYS_HUMAN		511			generic|con_AMYS_HUMAN|AMYS_HUMAN	1	0.999	29	67	6	67	39	16	12	2	3	1	39	16	12	4.07E+09	3.03E+09	1.63E+09	7.97E+08	5.86E+08	4.13E+08	
generic|con_ANT3_HUMAN|ANT3_HUMAN	generic|con_ANT3_HUMAN|ANT3_HUMAN	generic|con_ANT3_HUMAN|ANT3_HUMAN		464			generic|con_ANT3_HUMAN|ANT3_HUMAN	0.9664	0.995	1	1	1	1	1	0	0	1	0	0	1	0	0	2605180.2	0	6088801	0	0	0	
generic|con_ANXA5_HUMAN|ANXA5_HUMAN	generic|con_ANXA5_HUMAN|ANXA5_HUMAN	generic|con_ANXA5_HUMAN|ANXA5_HUMAN		319			generic|con_ANXA5_HUMAN|ANXA5_HUMAN	1	0.999	10	11	0	11	9	0	2	0	0	0	9	0	2	1.39E+08	1.10E+08	1.13E+08	2.93E+07	2.85E+07	2.86E+07	sp|P08758|ANXA5_HUMAN
generic|con_B2MG_HUMAN|B2MG_HUMAN	generic|con_B2MG_HUMAN|B2MG_HUMAN	generic|con_B2MG_HUMAN|B2MG_HUMAN		119			generic|con_B2MG_HUMAN|B2MG_HUMAN	0.9031	0.9849	1	1	0	1	1	0	0	0	0	0	1	0	0	5306381	6801739.5	2.08E+07	0	0	0	"tr|F5H6I0|F5H6I0_HUMAN, tr|H0YLF3|H0YLF3_HUMAN"
generic|con_CAH1_HUMAN|CAH1_HUMAN	generic|con_CAH1_HUMAN|CAH1_HUMAN	generic|con_CAH1_HUMAN|CAH1_HUMAN		260			generic|con_CAH1_HUMAN|CAH1_HUMAN	1	0.999	9	10	0	10	10	0	0	0	0	0	10	0	0	1.01E+08	2.08E+07	3.35E+07	2.04E+07	1.13E+07	1.72E+07	sp|P00915|CAH1_HUMAN
generic|con_CAS1_BOVIN|CAS1_BOVIN	generic|con_CAS1_BOVIN|CAS1_BOVIN	generic|con_CAS1_BOVIN|CAS1_BOVIN		214			generic|con_CAS1_BOVIN|CAS1_BOVIN	1	0.999	8	20	20	20	10	5	5	10	5	5	10	5	5	6.24E+08	8.83E+08	1.55E+09	3.74E+08	5.00E+08	8.77E+08	
generic|con_CASB_BOVIN|CASB_BOVIN	generic|con_CASB_BOVIN|CASB_BOVIN	generic|con_CASB_BOVIN|CASB_BOVIN		224			generic|con_CASB_BOVIN|CASB_BOVIN	1	0.9989	4	10	10	10	4	3	3	4	3	3	4	3	3	2.01E+08	2.30E+08	4.16E+08	5.46E+07	2.52E+08	4.17E+08	
generic|con_CASK_BOVIN|CASK_BOVIN	generic|con_CASK_BOVIN|CASK_BOVIN	generic|con_CASK_BOVIN|CASK_BOVIN		190			generic|con_CASK_BOVIN|CASK_BOVIN	1	0.999	4	9	9	9	4	3	2	4	3	2	4	3	2	9.59E+07	2.10E+08	2.52E+08	6.24E+07	1.40E+08	1.40E+08	
generic|con_CATA_HUMAN|CATA_HUMAN	generic|con_CATA_HUMAN|CATA_HUMAN	generic|con_CATA_HUMAN|CATA_HUMAN		526			generic|con_CATA_HUMAN|CATA_HUMAN	1	0.999	17	29	0	29	19	4	6	0	0	0	19	4	6	3.60E+08	5.67E+08	6.08E+08	4.88E+07	8.61E+07	1.07E+08	sp|P04040|CATA_HUMAN
generic|con_CATD_HUMAN|CATD_HUMAN	generic|con_CATD_HUMAN|CATD_HUMAN	generic|con_CATD_HUMAN|CATD_HUMAN		412			generic|con_CATD_HUMAN|CATD_HUMAN	1	0.999	8	23	0	23	8	7	8	0	0	0	8	7	8	1.28E+08	4.67E+08	5.99E+08	5.59E+07	1.48E+08	1.68E+08	"tr|A0A1B0GV23|A0A1B0GV23_HUMAN, tr|A0A1B0GVP3|A0A1B0GVP3_HUMAN, tr|A0A1B0GW44|A0A1B0GW44_HUMAN, tr|A0A1B0GWE8|A0A1B0GWE8_HUMAN, tr|C9JH19|C9JH19_HUMAN, tr|F8W787|F8W787_HUMAN"
